"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significant","direction"
"CR2",0.0190987870729017,-2.03506125655032,0.011,0.055,1,FALSE,"Not significant"
"DRD1",0.0190987870729017,2.03506125655032,0.055,0.011,1,FALSE,"Not significant"
"RELT",0.0190987870729017,-2.03506125655032,0.011,0.055,1,FALSE,"Not significant"
"UCP3",0.0190987870729017,2.03506125655032,0.055,0.011,1,FALSE,"Not significant"
"CSDC2",0.0190987870729017,-2.03506125655032,0.011,0.055,1,FALSE,"Not significant"
"AL354702.2",0.019142860917497,-0.996886586822654,0.005,0.044,1,FALSE,"Not significant"
"CCL18",0.019142860917497,-0.996886586822654,0.005,0.044,1,FALSE,"Not significant"
"LINC01896",0.019142860917497,-0.996886586822654,0.005,0.044,1,FALSE,"Not significant"
"AC003002.1",0.019142860917497,0.996886586822654,0.044,0.005,1,FALSE,"Not significant"
"COX19",0.0191431336920022,2.10748517695739,0.225,0.132,1,FALSE,"Not significant"
"AC012355.1",0.0191958721750624,-0.857232260539977,0.055,0.126,1,FALSE,"Not significant"
"RB1CC1",0.0192406420537066,-5.28993687936436,0.714,0.615,1,FALSE,"Not significant"
"AC007262.2",0.0192570895766351,-0.539922758315506,0.066,0.143,1,FALSE,"Not significant"
"ZSCAN16-AS1",0.0192992700412432,0.583812695471341,0.055,0.126,1,FALSE,"Not significant"
"NDUFA10",0.0194314376345851,2.52327638914678,0.489,0.363,1,FALSE,"Not significant"
"TUBB4B",0.0194450312361923,-2.03611313630002,0.236,0.335,1,FALSE,"Not significant"
"BNIP3L",0.0194517360171364,1.78008410079252,0.363,0.269,1,FALSE,"Not significant"
"DDX49",0.0195445830140858,-0.966164773879184,0.121,0.214,1,FALSE,"Not significant"
"CREB1",0.0195796019957462,17.0182981057237,0.549,0.423,1,FALSE,"Not significant"
"GREM1",0.0195841851199128,-0.865025766268487,0.044,0.11,1,FALSE,"Not significant"
"BBOF1",0.0196089404024123,-0.722964366089546,0.132,0.225,1,FALSE,"Not significant"
"HSD17B11",0.0196244116588717,4.71053768134043,0.434,0.319,1,FALSE,"Not significant"
"ACBD6",0.0196409128337729,4.32337009922222,0.742,0.67,1,FALSE,"Not significant"
"PABPC3",0.0196465006414874,2.45255909013226,0.214,0.126,1,FALSE,"Not significant"
"KIFC1",0.0196495468009962,-2.16638489761597,0.077,0.154,1,FALSE,"Not significant"
"RAB5IF",0.01967378246593,5.47750711980546,0.225,0.137,1,FALSE,"Not significant"
"MAGEF1",0.0197035854658278,-0.715334288538707,0.055,0.126,1,FALSE,"Not significant"
"PBX3",0.0197128281595632,11.1588050998711,0.5,0.604,1,FALSE,"Not significant"
"DHX36",0.01977373551422,4.88747136671155,0.604,0.505,1,FALSE,"Not significant"
"PON1",0.0197781817247829,-1.3273196515393,0.011,0.055,1,FALSE,"Not significant"
"IGF2BP1",0.0197871936193873,-2.4239653937211,0.088,0.165,1,FALSE,"Not significant"
"TMED9",0.0198172371938304,-2.70922528784265,0.126,0.214,1,FALSE,"Not significant"
"MGAT4A",0.0198664737391474,-7.3969015101974,0.324,0.467,1,FALSE,"Not significant"
"PHC3",0.019873114415645,8.51440538738396,0.687,0.582,1,FALSE,"Not significant"
"TEFM",0.0198784469523701,-1.1064514869559,0.121,0.209,1,FALSE,"Not significant"
"CNP",0.019886000659224,-0.894435256516739,0.071,0.148,1,FALSE,"Not significant"
"PIKFYVE",0.0199040130988023,-3.74804032320008,0.489,0.379,1,FALSE,"Not significant"
"LAD1",0.0199081626539016,0.793053084659032,0.242,0.143,1,FALSE,"Not significant"
"AC090572.2",0.0199445143096264,-0.99747450909191,0.011,0.055,1,FALSE,"Not significant"
"PRKG2",0.0200077438446149,-1.58305734113192,0.06,0.132,1,FALSE,"Not significant"
"LSM5",0.020072789789598,-1.65704467742555,0.093,0.176,1,FALSE,"Not significant"
"TSPAN1",0.0200830375577315,-2.97149407625534,0.176,0.093,1,FALSE,"Not significant"
"EPHA5",0.0200989221557986,0.308445011635756,0.099,0.187,1,FALSE,"Not significant"
"FASTK",0.0201445037392946,2.63848526852811,0.313,0.22,1,FALSE,"Not significant"
"LNX1",0.0201613841003833,2.29346761998223,0.396,0.291,1,FALSE,"Not significant"
"TYW1",0.0201933751780831,0.617741461134312,0.555,0.445,1,FALSE,"Not significant"
"SNAP91",0.0202167820318982,-0.982114105279863,0.06,0.132,1,FALSE,"Not significant"
"RNF5",0.0202284469966333,-2.47935414407996,0.038,0.099,1,FALSE,"Not significant"
"AK3",0.020232256545957,-9.69436288654703,0.61,0.462,1,FALSE,"Not significant"
"C19orf48",0.0202343579201161,0.713353029842156,0.302,0.187,1,FALSE,"Not significant"
"ZMAT2",0.0202383625882856,-0.850680083829212,0.11,0.198,1,FALSE,"Not significant"
"CSMD3",0.020256118335379,-1.22366432538811,0.258,0.379,1,FALSE,"Not significant"
"LINC02444",0.0202697420446982,1.27030709537194,0.198,0.11,1,FALSE,"Not significant"
"L2HGDH",0.020276544489483,1.08008017684842,0.374,0.264,1,FALSE,"Not significant"
"MYOM2",0.0203208144300838,-2.60005890595813,0.027,0.082,1,FALSE,"Not significant"
"RRAGA",0.0203209645915054,-3.45748035218883,0.027,0.082,1,FALSE,"Not significant"
"OTUD4",0.0203290508499916,0.302581743503534,0.407,0.286,1,FALSE,"Not significant"
"FRMD8",0.02033630593683,2.00417892609355,0.258,0.165,1,FALSE,"Not significant"
"PCDH11X",0.0203396798515889,-4.245297412253,0.198,0.291,1,FALSE,"Not significant"
"CAV1",0.0203579542186127,-2.32913591690329,0.066,0.137,1,FALSE,"Not significant"
"PMP22",0.0203606199116525,-1.76005016861995,0.049,0.115,1,FALSE,"Not significant"
"MALL",0.0203608263382316,4.77827203408703,0.115,0.049,1,FALSE,"Not significant"
"MBP",0.020379011276707,1.03055781999493,0.489,0.385,1,FALSE,"Not significant"
"BSN",0.0204030157483052,-1.36362031762426,0.082,0.159,1,FALSE,"Not significant"
"SERPINI1",0.0204030368349254,-1.57566366970712,0.077,0.154,1,FALSE,"Not significant"
"AC087071.2",0.0204038565136768,-0.771352732614491,0.055,0.126,1,FALSE,"Not significant"
"TPK1",0.0204325083281838,1.88587744840044,0.462,0.346,1,FALSE,"Not significant"
"PLIN2",0.0204398757424721,-1.08408292130067,0.126,0.22,1,FALSE,"Not significant"
"LAMB4",0.0204721542354207,-2.24163216898364,0.06,0.132,1,FALSE,"Not significant"
"POFUT2",0.0204979240739797,1.14722241621482,0.192,0.104,1,FALSE,"Not significant"
"RPS3",0.0205126702528626,-154.022724204814,0.703,0.736,1,FALSE,"Not significant"
"HDAC8",0.0205206780253302,-6.49916887720865,0.692,0.615,1,FALSE,"Not significant"
"MTHFD1L",0.0205251129394765,4.52626647669831,0.659,0.516,1,FALSE,"Not significant"
"OSBPL1A",0.0205365628694387,-4.21005678969531,0.352,0.456,1,FALSE,"Not significant"
"AC099329.1",0.0205407190130822,2.28849747874331,0.154,0.077,1,FALSE,"Not significant"
"IL2RA",0.0205462248989163,-0.980591357622909,0.088,0.17,1,FALSE,"Not significant"
"SYP",0.020558558493971,-2.90684687832787,0.06,0.132,1,FALSE,"Not significant"
"NELL2",0.0205689856706392,-13.9827433950064,0.242,0.335,1,FALSE,"Not significant"
"TMEM144",0.0205729285046521,1.48849174104382,0.132,0.06,1,FALSE,"Not significant"
"GSTO2",0.0205848723766544,1.01087221127576,0.363,0.253,1,FALSE,"Not significant"
"AP2S1",0.0206012051370058,-2.56129254135507,0.198,0.291,1,FALSE,"Not significant"
"AP003354.2",0.0206535576759509,-2.63052526020456,0.038,0.099,1,FALSE,"Not significant"
"NGDN",0.0206559488224017,1.23482056720327,0.225,0.132,1,FALSE,"Not significant"
"RHBDF1",0.0206574194493748,2.08827879535495,0.082,0.027,1,FALSE,"Not significant"
"AC011900.1",0.0206575713883939,-2.47926653756856,0.027,0.082,1,FALSE,"Not significant"
"LINC01579",0.0206647893337362,-1.42073776517207,0.06,0.132,1,FALSE,"Not significant"
"SH3GL2",0.0206803524212009,41.8355053063392,0.253,0.374,1,FALSE,"Not significant"
"FAM222B",0.0206840066925409,5.40137162917818,0.648,0.582,1,FALSE,"Not significant"
"GRK4",0.0207151689318998,-1.16338909071219,0.159,0.253,1,FALSE,"Not significant"
"IGSF11",0.0207176593666786,0.84843429093075,0.242,0.148,1,FALSE,"Not significant"
"FGD6",0.0207683575251445,0.345433221122491,0.549,0.423,1,FALSE,"Not significant"
"ADI1",0.0208322593169593,-1.75221809618283,0.11,0.192,1,FALSE,"Not significant"
"CPT1A",0.0208600892759369,3.71600363178799,0.313,0.22,1,FALSE,"Not significant"
"SDHAF4",0.0208635076297553,-1.63385527138901,0.049,0.115,1,FALSE,"Not significant"
"KLHL32",0.0208706074372425,-3.59624282542072,0.099,0.181,1,FALSE,"Not significant"
"SLC22A23",0.0208755330184938,-3.87142078572942,0.549,0.445,1,FALSE,"Not significant"
"HIVEP3",0.0208868295743109,10.0891471700134,0.67,0.72,1,FALSE,"Not significant"
"CLMN",0.0209263382362948,2.49413581417773,0.352,0.247,1,FALSE,"Not significant"
"SMARCA1",0.020955275234799,4.87792477858011,0.346,0.236,1,FALSE,"Not significant"
"GSE1",0.0209581371130823,-4.13306917013918,0.61,0.709,1,FALSE,"Not significant"
"AC064807.1",0.0209620668172502,-0.489200692110495,0.055,0.126,1,FALSE,"Not significant"
"AC008957.2",0.0209982463629522,-3.1189324672672,0.027,0.082,1,FALSE,"Not significant"
"IL18R1",0.0210131806164876,-1.79089228595683,0.049,0.115,1,FALSE,"Not significant"
