"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001952","regulation of cell-matrix adhesion","12/620","121/18842",0.0991735537190083,3.0139162889896,4.09939131320526,0.000647085542599452,0.0311874015613506,0.0311874015613506,"SDC4/VEGFA/NF1/SLC9A1/ARHGAP6/SLK/RAB40C/CLASP2/JUP/PTPRA/SMAD3/PHLDB2",12
"GO:0021987","cerebral cortex development","10/620","89/18842",0.112359550561798,3.41464298658934,4.21174775235784,0.000679833906458306,0.0324993769916654,0.0324993769916654,"FGF13/MBOAT7/SUN1/NF1/SLIT2/SLC2A1/RELN/ZMIZ1/SLC38A2/FOS",10
"GO:1902893","regulation of miRNA transcription","9/620","74/18842",0.121621621621622,3.69612031386225,4.28643191119546,0.000700870916348418,0.0332348466784572,0.0332348466784572,"SREBF1/PPARG/PPARD/VEGFA/SREBF2/NCOR1/SMAD3/FOS/GNL3",9
"GO:1901524","regulation of mitophagy","7/620","46/18842",0.152173913043478,4.62461430575035,4.54002031579106,0.00070799968966713,0.0333043054019418,0.0333043054019418,"SREBF1/SREBF2/FBXO7/CTTN/HK2/HUWE1/VPS13D",7
"GO:0031669","cellular response to nutrient levels","18/620","233/18842",0.0772532188841202,2.3477502422816,3.81834934120874,0.000733832598140805,0.0342455212465709,0.0342455212465709,"SREBF1/FOXO1/WDR45B/ATF3/MTMR3/EP300/PPARD/SREBF2/KRT20/OGT/NCOA3/GCN1/STK24/YWHAZ/CSNK1A1/SLC38A2/FOS/RXRA",18
"GO:0030032","lamellipodium assembly","8/620","60/18842",0.133333333333333,4.05204301075269,4.36762310798722,0.000743515651051465,0.0344241891982883,0.0344241891982883,"PLCE1/SLIT2/WASF2/CYFIP1/OCLN/ABLIM1/NCKAP1/ARPC2",8
"GO:0061614","miRNA transcription","9/620","75/18842",0.12,3.64683870967742,4.23653189724776,0.000773652850115119,0.0355396778021633,0.0355396778021633,"SREBF1/PPARG/PPARD/VEGFA/SREBF2/NCOR1/SMAD3/FOS/GNL3",9
"GO:0072659","protein localization to plasma membrane","20/620","274/18842",0.072992700729927,2.21827172121497,3.74702576580845,0.000781795438016101,0.0356353269421292,0.0356353269421292,"CDH1/FGF13/GAK/SMURF1/GOLGA4/MAP7/PDPK1/RAB10/GGA3/TSPAN14/DUOXA1/PRKCZ/JUP/SLMAP/PPIL2/ZDHHC3/TNFRSF1A/EZR/ITGA3/CAMK2G",20
"GO:0120033","negative regulation of plasma membrane bounded cell projection assembly","7/620","47/18842",0.148936170212766,4.52621825669183,4.46464314619381,0.00080864144829402,0.0363739262831082,0.0363739262831082,"MAP4/LUZP1/RAB10/SLIT2/TACSTD2/ODF2L/LIMK2",7
"GO:0090130","tissue migration","10/620","91/18842",0.10989010989011,3.33959588798298,4.12666416817467,0.000810371486919587,0.0363739262831082,0.0363739262831082,"RREB1/GRHL2/PTPRR/PTPRG/MCC/FAT2/OCLN/TACSTD2/KRT16/CLASP2",10
